"MCsize","medianR2"
"1",241,0.0329592517768047
"2",301,0.0357201082983177
"3",224.5,0.0310420572911358
"4",118,0.0327419823389758
"5",64,0.031158999968119
"6",211.5,0.0352619243242568
"7",192.5,0.0350272423937389
"8",245,0.0281407338317896
"9",55,0.0349427834187114
"10",25.5,0.0338439469817047
"11",126,0.0285928799911862
"12",137.5,0.0229809826621083
"13",16,0.0304534316526655
"14",183,0.0355113303722486
"15",245,0.0350308559652712
"16",103,0.0342796234373989
"17",236,0.0350928921168424
"18",284.5,0.0317229483748539
"19",148.5,0.0371410459939537
"20",259,0.0288356378233396
"21",218,0.0356060985534903
"22",236.5,0.0350196094995175
"23",83,0.0299629175575433
"24",243,0.0294434842716398
"25",324.5,0.0316986720556751
"26",289,0.035738184874606
"27",316,0.0375428846951955
"28",192,0.0299342858007651
"29",134,0.0337160195606292
"30",73.5,0.0271632726156587
